,country,region,gdppcap08,polityIV
0,Albania,C&E Europe,7715,17.8
1,Algeria,Africa,8033,10.0
2,Angola,Africa,5899,8.0
3,Argentina,S. America,14333,18.0
4,Armenia,C&E Europe,6070,15.0
5,Australia,Asia-Pacific,35677,20.0
6,Austria,W. Europe,38152,20.0
7,Azerbaijan,C&E Europe,8765,3.0
8,Bahrain,Middle East,34605,3.0
9,Bangladesh,Asia-Pacific,1334,16.0
10,Belarus,C&E Europe,12261,3.0
11,Belgium,W. Europe,34493,20.0
12,Benin,Africa,1468,16.2
13,Bhutan,Asia-Pacific,4755,2.0
14,Bolivia,S. America,4278,18.2
15,Botswana,Africa,13392,19.0
16,Brazil,S. America,10296,18.0
17,Bulgaria,C&E Europe,12393,19.0
18,Burkina Faso,Africa,1161,10.0
19,Cambodia,Asia-Pacific,1905,12.0
20,Cameroon,Africa,2215,6.0
21,Canada,N. America,36444,20.0
22,Central African Republic,Africa,736,10.2
23,Chad,Africa,1455,8.0
24,Chile,S. America,14465,19.2
25,China,Asia-Pacific,5962,3.0
26,Colombia,S. America,8885,17.0
27,Comoros,Africa,1169,15.8
28,Congo Brazzaville,Africa,3946,6.0
29,Congo Kinshasa,Africa,321,15.0
30,Costa Rica,S. America,11241,20.0
31,Croatia,C&E Europe,19084,18.4
32,Cuba,S. America,9500,3.0
33,Czech Republic,C&E Europe,24712,20.0
34,Denmark,Scandinavia,36607,20.0
35,Djibouti,Africa,2140,12.0
36,Ecuador,S. America,8009,16.2
37,Egypt,Middle East,5416,4.0
38,El Salvador,S. America,6794,17.0
39,Equatorial Guinea,Africa,33873,5.0
40,Eritrea,Africa,632,3.0
41,Estonia,C&E Europe,20662,16.0
42,Fiji,Asia-Pacific,4382,13.8
43,Finland,Scandinavia,35427,20.0
44,France,W. Europe,34045,19.0
45,Gabon,Africa,14527,6.0
46,Gambia,Africa,1363,5.0
47,Georgia,C&E Europe,4896,15.666667
48,Germany,W. Europe,35613,20.0
49,Ghana,Africa,1452,16.666667
50,Greece,W. Europe,29361,20.0
51,Guatemala,S. America,4760,18.0
52,Guinea,Africa,1204,9.0
53,Guinea-Bissau,Africa,538,11.0
54,Guyana,S. America,2542,16.0
55,Haiti,S. America,1177,8.0
56,Honduras,S. America,3965,17.0
57,Hungary,C&E Europe,19330,20.0
58,India,Asia-Pacific,2972,19.0
59,Indonesia,Asia-Pacific,3975,16.666667
60,Iran,Middle East,11666,10.0
61,Iraq,Middle East,3570,1.0
62,Ireland,W. Europe,44200,20.0
63,Israel,Middle East,27548,20.0
64,Italy,W. Europe,30756,20.0
65,Jamaica,S. America,7705,19.0
66,Japan,Asia-Pacific,34099,20.0
67,Jordan,Middle East,5283,8.0
68,Kazakhstan,C&E Europe,11315,4.0
69,Kenya,Africa,1590,18.0
70,Korea South,Asia-Pacific,27939,18.0
71,Kuwait,Middle East,39914,3.0
72,Kyrgyzstan,C&E Europe,2188,7.0
73,Laos,Asia-Pacific,2134,3.0
74,Latvia,C&E Europe,17100,18.0
75,Lesotho,Africa,1588,18.0
76,Liberia,Africa,388,10.0
77,Libya,Middle East,15402,3.0
78,Lithuania,C&E Europe,18824,20.0
79,Macedonia,C&E Europe,10041,19.0
80,Madagascar,Africa,1049,17.0
81,Malawi,Africa,837,15.0
82,Malaysia,Asia-Pacific,14215,13.0
83,Mali,Africa,1128,16.0
84,Mauritania,Africa,2052,4.0
85,Mauritius,Africa,12079,20.0
86,Mexico,N. America,14495,18.0
87,Moldova,C&E Europe,2925,18.0
88,Mongolia,Asia-Pacific,3566,20.0
89,Morocco,Middle East,4388,4.0
90,Mozambique,Africa,855,16.0
91,Namibia,Africa,6343,16.0
92,Nepal,Asia-Pacific,1112,4.0
93,Netherlands,W. Europe,40849,20.0
94,New Zealand,Asia-Pacific,27029,20.0
95,Nicaragua,S. America,2682,18.0
96,Niger,Africa,684,15.333333
97,Nigeria,Africa,2082,14.0
98,Norway,Scandinavia,58138,20.0
99,Oman,Middle East,22478,2.0
100,Pakistan,Asia-Pacific,2644,5.0
101,Papua New Guinea,Asia-Pacific,2208,20.0
102,Paraguay,S. America,4709,17.666667
103,Peru,S. America,8507,19.0
104,Philippines,Asia-Pacific,3510,18.0
105,Poland,C&E Europe,17625,20.0
106,Portugal,W. Europe,23074,20.0
107,Qatar,Middle East,85868,0.0
108,Romania,C&E Europe,14065,18.333333
109,Russia,C&E Europe,16139,17.0
110,Rwanda,Africa,1022,6.6666667
111,Saudi Arabia,Middle East,23920,0.0
112,Senegal,Africa,1772,18.0
113,Sierra Leone,Africa,766,15.0
114,Singapore,Asia-Pacific,49284,8.0
115,Slovakia,C&E Europe,22081,19.0
116,Slovenia,C&E Europe,27605,20.0
117,Solomon Islands,Asia-Pacific,2610,18.0
118,South Africa,Africa,10109,19.0
119,Spain,W. Europe,31954,20.0
120,Sri Lanka,Asia-Pacific,4560,15.333333
121,Sudan,Africa,2153,4.0
122,Swaziland,Africa,4928,1.0
123,Sweden,Scandinavia,37383,20.0
124,Switzerland,W. Europe,42536,20.0
125,Taiwan,Asia-Pacific,30881,19.333333
126,Tajikistan,C&E Europe,1906,7.6666667
127,Tanzania,Africa,1263,11.0
128,Thailand,Asia-Pacific,7703,19.0
129,Togo,Africa,829,8.0
130,Tunisia,Middle East,7996,6.0
131,Turkey,Middle East,13920,17.0
132,Turkmenistan,C&E Europe,6641,1.0
133,UAE,Middle East,38830,2.0
134,Uganda,Africa,1165,6.0
135,Ukraine,C&E Europe,7271,16.0
136,United Kingdom,W. Europe,35445,20.0
137,United States,N. America,46716,20.0
138,Uruguay,S. America,12734,20.0
139,Uzbekistan,C&E Europe,2656,1.0
140,Venezuela,S. America,12804,16.0
141,Vietnam,Asia-Pacific,2785,3.0
142,Yemen,Middle East,2400,8.0
143,Zambia,Africa,1356,15.0
144,Zimbabwe,Africa,188,6.0
